period,location,state,sector,fuel,generation,totalConsumptionBtu
2024,90,Pacific,Independent Power Producers,wood and wood wastes,1970.56915,35.60857
2024,90,Pacific,Coal Consumption,all fuels,2234.84331,29.13491
2024,90,Pacific,Coal Consumption,all renewables,2.11031,0.0072
2024,90,Pacific,Coal Consumption,fossil fuels,2232.733,29.12771
2024,90,Pacific,Coal Consumption,natural gas,2195.883,28.52654
2024,90,Pacific,Coal Consumption,natural gas & other gases,2232.733,29.12771
2024,90,Pacific,Coal Consumption,other gases,36.85,0.60117
2024,90,Pacific,Coal Consumption,renewable,2.11031,0.0072
2024,90,Pacific,Coal Consumption,solar photovoltaic,2.11031,0.0072
2024,90,Pacific,Coal Consumption,solar,2.11031,0.0072
2024,90,Pacific,All Commercial,all fuels,3209.12993,43.75772
2024,90,Pacific,All Commercial,all renewables,1132.47633,13.45898
2024,90,Pacific,All Commercial,biomass,957.88659,12.86328
2024,90,Pacific,All Commercial,coal, excluding waste coal,148.23956,4.47103
2024,90,Pacific,All Commercial,all coal products,148.23956,4.47103
2024,90,Pacific,All Commercial,distillate fuel oil,14.77493,0.37335
2024,90,Pacific,All Commercial,fossil fuels,1642.02584,25.05945
2024,90,Pacific,All Commercial,hydro-electric pumped storage,0,0
2024,90,Pacific,All Commercial,conventional hydroelectric,219.635,0.74939
2024,90,Pacific,All Commercial,landfill gas,343.77311,4.49752
2024,90,Pacific,All Commercial,municiapl landfill gas,520.88944,8.17067
2024,90,Pacific,All Commercial,biogenic municipal solid waste,177.11633,3.67315
2024,90,Pacific,All Commercial,natural gas,1479.01135,20.21508
2024,90,Pacific,All Commercial,natural gas & other gases,1479.01135,20.21508
2024,90,Pacific,All Commercial,biomass,436.99715,4.69261
2024,90,Pacific,All Commercial,biomass,614.11348,8.36576
2024,90,Pacific,All Commercial,other renewables,436.99715,4.69261
2024,90,Pacific,All Commercial,other,214.99276,4.48989
2024,90,Pacific,All Commercial,petroleum liquids,14.77493,0.37335
2024,90,Pacific,All Commercial,petroleum,14.77493,0.37335
2024,90,Pacific,All Commercial,renewable,1352.11133,14.20838
2024,90,Pacific,All Commercial,solar photovoltaic,168.87174,0.5762
